Run,SimulatedAnnealingCost,GeneticAlgorithmCost,AntColonyCost
1,52380.371568500275,37915.79059298257,38435.56212417904
2,50660.10815550388,37915.790592982565,37950.86388960772
3,43118.13231865587,37915.79059298257,37950.86388960771
4,48412.244887416884,37915.790592982565,38254.491484526385
5,41721.79048935001,38640.687078658906,37960.94136908746
6,51969.98846870342,37915.79059298257,38364.37567661767
7,47554.51241815485,38640.687078658906,38446.025644393514
8,49306.20732996991,37915.790592982565,38371.85488774416
9,53954.23503277263,37915.79059298257,38440.09673403355
10,48546.50231977519,37915.79059298257,38067.522102414456
11,45461.81495064276,38640.687078658906,38156.12639763215
12,45702.05487771676,38640.687078658906,38441.86896035315
13,44097.47568625424,37915.790592982565,38146.0489181524
14,54788.0227881153,37915.790592982565,38244.91170548886
15,54400.65517734763,37915.790592982565,38244.91170548886
16,49555.44713973199,37915.790592982565,38542.23246423343
17,51310.53071920908,40181.75131206255,38254.491484526385
18,44705.1244436536,41341.65441974222,38254.491484526385
19,47925.18531373727,41341.65441974222,37950.86388960772
20,44165.273134612966,41341.65441974222,37950.86388960772
21,55168.98672662299,38180.90592809514,39039.962632135976
22,45161.41191027871,38640.687078658906,38156.12639763215
23,46102.120478114615,37915.790592982565,37950.86388960772
24,42379.532890863775,41341.65441974222,38556.7549468403
25,44801.029380231696,37915.790592982565,38870.945403828744
26,47672.72983358646,38640.68707865891,38156.12639763215
27,48084.13986458448,41341.65441974222,38156.12639763215
28,43277.57402701917,37915.790592982565,38675.76037528406
29,54153.11331077766,37915.790592982565,37960.941369087464
30,43810.303407855026,38640.68707865891,38156.12639763215
31,42066.104748819525,37915.790592982565,38411.16425326497
32,42528.103087665564,40094.663149148124,38254.491484526385
33,47310.24367568804,37915.79059298257,37960.94136908746
34,45802.66204809988,41341.65441974222,38156.12639763216
35,48885.00051594746,37915.790592982565,38680.543466728705
36,51793.62328678268,37915.79059298257,37950.86388960771
37,48954.720031305194,38640.68707865891,38441.868960353146
38,47928.96524510397,37915.790592982565,38254.491484526385
39,43991.991810440355,37915.790592982565,37950.86388960771
40,43986.59168560464,37915.79059298257,38156.12639763216
41,46710.33203083311,40987.599216287235,38449.67651307108
42,48722.32540560492,37915.790592982565,38440.09673403355
43,57001.10947029103,38640.687078658906,37960.94136908746
44,48612.57468371359,37915.790592982565,38244.911705488856
45,57810.648407898996,37915.79059298257,38254.491484526385
46,48167.22988968301,37915.79059298257,38191.31062230287
47,52699.377518626054,40503.138685968115,38254.491484526385
48,57561.92185274178,37915.790592982565,38146.0489181524
49,49193.74296811523,38640.687078658906,37960.94136908746
50,48724.56944437701,37915.790592982565,38412.204393728054
51,52265.90506201297,38640.687078658906,37960.94136908746
52,50992.27762582717,37915.790592982565,38254.491484526385
53,48736.509105610894,37915.79059298257,38156.12639763216
54,50163.98063439115,38640.68707865891,38067.52210241446
55,52757.102243930494,37915.790592982565,38156.12639763215
56,54993.84153354021,41341.65441974222,38244.911705488856
57,51423.11465675953,37915.790592982565,38148.31884491421
58,50814.703353217956,38640.687078658906,38146.0489181524
59,42117.750806927324,39046.9714399179,37950.86388960771
60,51217.12977539387,37915.790592982565,38156.12639763216
61,56304.8392350844,37915.790592982565,38396.57313032731
62,55580.39006561663,38640.687078658906,38440.09673403355
63,44878.90803611703,37915.79059298257,37950.86388960771
64,49846.7799143771,41341.65441974222,38244.911705488856
65,39970.056584093334,37915.790592982565,38244.911705488856
66,46019.655126819795,40181.75131206255,37960.94136908746
67,46872.69153830183,38640.687078658906,38074.5341289996
68,49864.58999040279,38640.687078658906,38156.12639763215
69,51112.269520199014,37915.790592982565,38969.808191165204
70,43762.240421730065,37915.79059298257,38244.91170548886
71,50500.712235961946,37915.79059298257,38449.67651307108
72,50045.21500314096,37915.790592982565,37960.94136908746
73,45463.16476520178,37915.79059298257,37950.86388960771
74,54244.21696437361,37915.790592982565,38244.911705488856
75,57074.28927769387,37915.79059298257,39269.48961171257
76,54138.852008371985,37915.790592982565,38191.310622302866
77,44295.23618830393,44764.16470086473,38254.491484526385
78,52296.670279365346,37915.790592982565,38870.945403828744
79,48192.58016377935,42434.39936894721,38146.04891815241
80,46885.115075061454,37915.79059298257,38392.956387525104
81,51852.32823099821,37915.790592982565,38146.0489181524
82,49023.57936730518,38640.687078658906,38675.76037528405
83,50208.56235943397,37915.79059298257,38746.99727181564
84,46924.960976335555,37915.79059298257,37960.941369087464
85,45832.624312561944,37915.790592982565,37950.86388960771
86,43558.003762799475,40181.75131206255,38680.543466728705
87,49459.0091120628,37915.790592982565,38156.12639763215
88,49783.4360168246,41341.65441974222,38146.0489181524
89,48134.73627734782,37915.790592982565,38333.42639397917
90,50364.8408689484,41341.65441974222,37960.941369087464
91,44802.674797834996,41220.33562814419,38146.0489181524
92,43241.205712604984,38640.687078658906,38254.491484526385
93,50269.86638146317,38640.687078658906,38440.09673403355
94,53290.676408612046,37915.79059298257,37950.86388960771
95,46941.506391174684,37915.790592982565,38146.0489181524
96,42588.809460017554,37915.790592982565,37960.941369087464
97,57614.44035412733,37915.79059298257,38191.310622302866
98,47800.36011347326,37915.790592982565,38244.911705488856
99,46356.56919404552,37915.79059298257,38146.04891815241
100,44833.89282566424,37915.79059298257,38148.31884491421
Average,48745.11326972345,38703.14466324456,38246.853112397686
StdDev,4140.53942607277,1346.2033094723527,263.3639477499394
Min,39970.056584093334,37915.790592982565,37950.86388960771
Max,57810.648407898996,44764.16470086473,39269.48961171257
